Drug.Name	KE.ID	KE.name	KE.type	interaction
Celecoxib	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Anthralin	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Indomethacin	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Ketoprofen	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Oxytetracycline	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Meloxicam	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
1-Phenyl-3-methyl-5-pyrazolone	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Carprofen	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Nimesulide	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Clotrimazole	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Triamcinolone acetonide	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Hydroxyprogesterone caproate	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Clove leaf oil	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Benzoin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Febuxostat	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Methylprednisolone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
17alpha-Hydroxyprogesterone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Levonorgestrel	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
3'-Azido-3'-deoxythymidine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Mestranol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Prednisolone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Etoposide	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
(9Z,12R)-12-Hydroxyoctadec-9-enoic acid	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
2-Hydroxy-4-methoxybenzophenone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Potassium nitrate	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Equilin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Methimazole	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Anthralin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
17alpha-Ethinylestradiol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Azathioprine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Letrozole	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Efavirenz	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Glycyrrhizin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Nilutamide	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
17beta-Estradiol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Triclosan	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Forskolin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Bicalutamide	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Furazolidone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Eugenol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
4-Androstene-3,17-dione	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Glybenclamide	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Tetracycline	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Albendazole	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Ketoconazole	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Corticosterone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Benzocaine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Estrone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Dexamethasone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
4-Nitrophenol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Oxytetracycline	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Spironolactone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
4-Hexylresorcinol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
5,6-Benzoflavone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Tromethamine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
4-Hydroxyandrostenedione	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Mifepristone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
1-Chloro-2,4-dinitrobenzene	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Ethynodiol diacetate	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Tacrine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Anastrozole	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Carboxin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
17-Methyltestosterone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
3,5,3'-Triiodothyronine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Testosterone propionate	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Deflazacort	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Phenothiazine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
7-Ethyl-2-methyl-4-undecanolsulfate, sodium salt	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Trilostane	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Finasteride	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Budesonide	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Farnesol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Estriol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Medroxyprogesterone acetate	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Chlorhexidine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Codeine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Haloperidol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Melengestrol acetate	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
dl-Norgestrel	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Betamethasone 21-phosphate disodium	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
all-trans-Retinoic acid	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Estradiol cypionate	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Oxazepam	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Pentaerythritol tetranitrate	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Dehydroepiandrosterone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Melatonin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
4-Hydroxytamoxifen	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Sparfloxacin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
meso-Hexestrol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Mefenamic acid	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Triamcinolone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
dl-Menthol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Theophylline	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Metoprolol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Warfarin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Resveratrol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Tamoxifen	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Valproic acid	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Nitrofurazone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
L-Dopa	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Danazol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Megestrol acetate	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Lovastatin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Dapsone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Flutamide	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Nonoxynol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Metyrapone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Astemizole	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
2-Ethylhexyl 4-(dimethylamino)benzoate	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Colchicine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
l-Tryptophan	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Decanoic acid	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
2-Phenoxyethanol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Permethrin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Prednisone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Riboflavin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Norethindrone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Lynestrenol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Stavudine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Cyproterone acetate	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
4-Aminofolic acid	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Leflunomide	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Carbamazepine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Fluocinolone acetonide	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Progesterone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Celecoxib	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Betamethasone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Diethylstilbestrol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
(1R,2S,5R)-(-)-Menthol	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Cortisone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Genistein	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Dexamethasone sodium phosphate	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Linolenic acid	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Flurandrenolide	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
6-Thioguanine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Digoxin	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Fluorometholone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
5alpha-Dihydrotestosterone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Sulfasalazine	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
Flavone	1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle	MolecularInitiatingEvent	directMIE
17alpha-Ethinylestradiol	619	Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)	MolecularInitiatingEvent	directMIE
Haloperidol	619	Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)	MolecularInitiatingEvent	directMIE
Astemizole	619	Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)	MolecularInitiatingEvent	directMIE
Estrone	619	Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)	MolecularInitiatingEvent	directMIE
Fluvoxamine	619	Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)	MolecularInitiatingEvent	directMIE
Ketoconazole	619	Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)	MolecularInitiatingEvent	directMIE
Ethionamide	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
2',3'-Dideoxycytidine	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
2-Hydroxy-4-methoxybenzophenone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Phenol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Primidone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Triclosan	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Benzophenone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
3,5,3'-Triiodothyronine	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Mifepristone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Levonorgestrel	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Albendazole	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
4-Chlorophenol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Decanoic acid	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Mestranol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Corticosterone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
17alpha-Hydroxyprogesterone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
17-Methyltestosterone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Pregnenolone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
4-Hexylresorcinol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Forskolin	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Potassium perchlorate	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Carbamazepine	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Pyrimethamine	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Tamoxifen	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Retinol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
9-cis Retinoic acid	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Riboflavin	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Prednisone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Danazol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Febuxostat	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Isoniazid	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Lynestrenol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Linolenic acid	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Equilin	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
all-trans-Retinoic acid	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Deflazacort	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Cyproterone acetate	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Propylthiouracil	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Arotinoid acid	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Benzoic acid	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Anastrozole	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Emodin	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
meso-Hexestrol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Melengestrol acetate	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Dexamethasone sodium phosphate	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Testosterone propionate	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
o-(Chloroacetylcarbamoyl)fumagillol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Eugenol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
4-Androstene-3,17-dione	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Progesterone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Clove leaf oil	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Niacinamide	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Estriol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Simvastatin	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
4-Hydroxytamoxifen	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Fulvestrant	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Genistein	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Flurbiprofen	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Thiabendazole	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Norethindrone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Haloperidol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Levothyroxine	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Adenine	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
4-Hydroxyandrostenedione	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Budesonide	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Pentaerythritol tetranitrate	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Clotrimazole	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Etoposide	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Pimozide	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Diethylstilbestrol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
(4-Aminophenyl)arsonic acid	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
5alpha-Dihydrotestosterone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Hydroxyprogesterone caproate	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Spironolactone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Pyrazinamide	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Ifosfamide	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
5,6-Benzoflavone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Bexarotene	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Tetracycline	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Dehydroepiandrosterone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Kaempferol	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Fluorometholone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Trilostane	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Dapsone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Estrone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Reserpine	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Fumagillin	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
Triamcinolone	1181	Activation, Estrogen receptor	MolecularInitiatingEvent	directMIE
